datetime,temperature,solar_irradiance,windspeed_north,windspeed_east,pressure,spec_humidity
2019-01-07 02:00:00,7.990747070312523,0.0,0.94782746,3.0811172,102755.766,0.0059548654
2019-01-07 03:00:00,8.003259277343773,0.0,0.7271321,3.2902985,102729.54,0.006032076
2019-01-07 04:00:00,8.322991943359398,0.0,0.5524708,3.379548,102680.97,0.0061079953
2019-01-07 05:00:00,8.486108398437523,0.0,0.6301885,3.3845387,102641.37,0.0061936625
2019-01-07 06:00:00,8.598596191406273,0.0,0.7967771,3.5858088,102618.914,0.006292634
2019-01-07 07:00:00,8.811608886718773,0.0,0.86524165,4.03358,102620.41,0.006419978
2019-01-07 08:00:00,9.122186279296898,5.7148438,0.8917966,4.5126705,102635.305,0.0065589002
2019-01-07 09:00:00,9.488458251953148,34.640625,1.0505188,4.9567623,102632.33,0.006690342
2019-01-07 10:00:00,9.784692382812523,59.09375,1.3884339,5.0712123,102597.43,0.0067913085
2019-01-07 11:00:00,9.967950439453148,94.84375,1.4610221,5.4047194,102540.625,0.006896131
2019-01-07 12:00:00,10.097131347656273,94.875,1.2067615,5.8186073,102475.53,0.0069913696
2019-01-07 13:00:00,10.152398681640648,67.25,0.6895716,6.400883,102410.65,0.006941702
2019-01-07 14:00:00,10.068078613281273,35.921875,0.10822749,6.6833463,102377.15,0.0068233833
2019-01-07 15:00:00,9.916711425781273,12.9140625,0.01810515,6.676989,102336.336,0.006729758
2019-01-07 16:00:00,9.773431396484398,0.33276367,0.37030852,6.4939427,102294.836,0.00674633
2019-01-07 17:00:00,9.706109619140648,0.0,0.6544343,6.4885993,102278.914,0.006831242
2019-01-07 18:00:00,9.807427978515648,0.0,0.2367642,6.8298554,102285.35,0.006899136
2019-01-07 19:00:00,9.877221679687523,0.0,-0.17607546,6.7381396,102280.44,0.0069901
2019-01-07 20:00:00,9.929895019531273,0.0,-0.6246425,6.601201,102270.57,0.0070736003
2019-01-07 21:00:00,10.006402587890648,0.0,-1.1600577,6.25925,102241.35,0.007138043
2019-01-07 22:00:00,10.026147460937523,0.0,-1.8724307,5.66218,102224.445,0.0071928673
2019-01-07 23:00:00,10.051904296875023,0.0,-2.475585,4.84611,102205.98,0.007181298
2019-01-08 00:00:00,9.888269042968773,0.0,-2.846416,4.2518506,102201.45,0.007065549
2019-01-08 01:00:00,9.642968750000023,0.0,-3.0875514,3.8389568,102196.1,0.0068032895
2019-01-08 02:00:00,9.120721435546898,0.0,-3.5400493,3.6328318,102209.414,0.0064587905
2019-01-08 03:00:00,8.776055908203148,0.0,-3.7781067,3.3670952,102206.83,0.006136821
2019-01-08 04:00:00,8.419061279296898,0.0,-3.8555272,3.1565218,102185.586,0.005943965
2019-01-08 05:00:00,8.091760253906273,0.0,-3.8779025,2.9244509,102170.94,0.0058443784
2019-01-08 06:00:00,7.888879394531273,0.0,-3.9642315,2.6712515,102185.875,0.005800169
2019-01-08 07:00:00,7.885705566406273,0.0,-4.0250115,2.4969943,102215.34,0.0057580317
2019-01-08 08:00:00,7.816857910156273,10.015625,-4.130456,2.3987663,102257.83,0.0056739016
2019-01-08 09:00:00,7.934228515625023,62.5625,-4.384507,2.5091498,102278.74,0.005677417
2019-01-08 10:00:00,8.234490966796898,118.3125,-4.5157323,2.5657773,102284.54,0.005680638
2019-01-08 11:00:00,8.462854003906273,173.1875,-4.750318,2.5931277,102270.98,0.0056361184
2019-01-08 12:00:00,8.570367431640648,222.125,-5.192134,2.4394417,102243.01,0.005557394
2019-01-08 13:00:00,8.617852783203148,222.9375,-5.322768,2.1535702,102208.695,0.00545399
2019-01-08 14:00:00,8.476037597656273,153.1875,-5.0961905,1.8064528,102186.37,0.0053753476
2019-01-08 15:00:00,8.105950927734398,58.296875,-4.6172247,1.5424027,102175.61,0.0053178086
2019-01-08 16:00:00,7.542657470703148,1.7700195,-4.089715,1.3684528,102163.91,0.005165396
2019-01-08 17:00:00,6.634179687500023,0.0,-4.0308843,1.3115737,102171.7,0.005144882
